,Date,Pptn,PET,S,G,ET,streamflow_mm
261,2001-10-31,144.27158186631831,145.6005769453125,356.5757844986455,947.8315217212964,90.08875312283637,65.6646883449468
262,2001-11-30,10.131033805445174,163.1243255625,326.48110824161097,882.0255793253583,76.71248121187091,15.386627449719805
263,2001-12-31,0.0,182.31940075781247,284.8033512689734,779.3508161319198,58.15978897735477,5.945367967051822
264,2002-01-31,26.01513761840936,188.995491928125,264.9280375613961,707.4304026942098,51.700402598362416,5.189413323620227
265,2002-02-28,0.19188981523311904,238.680034425,241.60434357325238,654.8149682453701,37.46919720433653,5.010193064009201
266,2002-03-31,29.243469492997285,321.0669133453125,224.39603926545828,605.4858087519164,28.25537987519056,2.8501802576850053
267,2002-04-30,46.60348314147439,389.8738828125,214.22442008124457,565.5338797251383,25.30058036791161,2.9854427116850935
268,2002-05-31,68.39355374339998,398.89872073125,220.20572276781962,546.4380297917191,54.257465188857175,2.9155687395008183
269,2002-06-30,200.51748764776644,232.049221453125,238.80711318122013,562.7245460934108,72.5193084217608,10.105311412327962
270,2002-07-31,130.40735360028114,157.2148203328125,283.0853485189458,659.1253716663648,92.13529054541142,13.339748678244614
271,2002-08-31,283.64306353330545,114.62780129062502,339.3130918113133,826.8612431351856,80.11472274083644,40.83650237986776
272,2002-09-30,282.93749447075083,118.37635460156253,371.75003403557673,962.1264320373537,82.020313013345,102.18893996213815
273,2002-10-31,40.88504159833618,156.4584155859375,358.588883430727,955.8280560893397,94.30273754987866,26.960887118937464
274,2002-11-30,9.177974956576387,173.2268689453125,319.98408495585124,866.6643376668295,78.61819281242788,10.731087157510393
275,2002-12-31,0.18568203795025465,196.9797173203125,277.10338869402483,761.8377522294238,57.35810771584511,4.154859889525217
276,2003-01-31,0.009260386880501,213.954047240625,251.87873955183133,683.0076923165271,36.669811117462814,2.9232439119090765
277,2003-02-28,27.221566867754326,218.0545423875,241.5872216451736,637.5070968355451,34.63331018574536,2.5201478441298866
278,2003-03-31,56.093720011247136,321.2953332609375,227.12729899088538,599.7939851002027,38.589725748170174,2.5969992457762157
279,2003-04-30,48.321796078774824,382.95385537499993,215.84979981316462,568.9539689381918,28.480700100772086,1.9845802941354287
280,2003-05-31,80.44726176204719,416.1595204406249,213.5205918588946,544.9811208171228,35.205072700046,3.5198141309146287
281,2003-06-30,303.05298269382615,265.683952546875,238.30862695905896,551.3757441202798,79.30776360444725,38.254853478908075
282,2003-07-31,313.9842029458246,123.91917154453122,287.99587590207335,667.4736655450638,76.61890732124449,70.05977116309413
283,2003-08-31,242.0814296116457,106.7251258546875,332.2373587085354,818.4346667874244,73.7044816603884,116.41821121923084
284,2003-09-30,192.61267693598012,103.704860671875,366.62702488369416,949.0178842332626,74.43969254381955,104.56206339974615
285,2003-10-31,292.92593230394954,126.2491369453125,387.1283698953608,993.8534344909012,84.79283158667386,146.56339778952187
286,2003-11-30,24.629362699311933,174.57589863281245,359.62784750196676,962.254541269938,90.29266680590807,39.70625848457888
287,2003-12-31,10.889562326233454,171.15710598281245,313.8946197673838,851.9147991877729,58.23295314330608,9.29293926781748
288,2004-01-31,6.943833669612088,202.514598225,279.8601775015555,759.8116935812018,47.449426841922104,5.786681285571983
289,2004-02-29,4.439343772044962,247.72274322187505,251.7390144611227,688.3271472097812,34.747878229245536,3.483631175275696
290,2004-03-31,11.64382946672411,342.5698226109376,227.61371454628562,625.2409378379903,23.70285446522757,2.8323379737748966
291,2004-04-30,72.1614971956745,379.59350203125,229.0167696211073,588.249599541558,60.05766056478024,2.5496524029979977
292,2004-05-31,55.871851216881225,418.1400193781249,215.4566751705703,563.8477790176229,49.002052552532405,1.9107192194014075
293,2004-06-30,233.99231554390187,238.77339215625,237.8290514628092,565.2395646413167,66.75627012737095,18.275582279701077
294,2004-07-31,246.5843435293464,138.9928961390625,258.10119153094547,611.9248836066132,70.16600067727268,41.993958250058654
295,2004-08-31,362.1375138271823,110.98628893125,323.64160119333576,764.7187901978851,76.11465726513416,194.19960453528807
296,2004-09-30,175.32569141597668,121.22148403125,349.3448649936252,895.7954889085559,84.44339758716524,62.67246755892712
297,2004-10-31,116.1476589641655,149.45993751796874,354.49318891955954,934.298960285802,96.78724010009321,41.385626078531374
298,2004-11-30,0.0,173.51228446874995,326.1089972601996,882.8211929321291,85.53018257953227,12.51332199724628
299,2004-12-31,0.032738222777170006,184.67197692890625,285.1951515033681,777.8391483265866,58.69073749054223,8.367134055766758
300,2005-01-31,17.647626689429764,194.7229756875,259.90111365369575,701.0110659035303,45.348712988197796,6.554497559089071
301,2005-02-28,3.399062342753904,242.6102965125,240.14860927490972,648.010412534078,35.73546214029193,3.830509097103485
302,2005-03-31,53.42916169142985,307.9404385171875,233.97939027765744,607.5536665557534,52.768603968434036,2.6398605981859715
303,2005-04-30,55.769081485914256,354.09172021875,223.82637636396618,582.7294922722709,53.94013063050807,2.6906961556952163
304,2005-05-31,86.29245424850085,380.498978503125,220.32335562347083,560.894972278226,57.44028829503805,2.4636306654872557
305,2005-06-30,332.4893255417847,261.065752734375,227.96058481004508,552.3394663492838,64.26647398620844,84.69652430077069
306,2005-07-31,424.53704032836436,134.7962749171875,279.7108154091784,649.9323846550399,77.26413952186705,152.6604750085915
307,2005-08-31,174.40585159676445,126.458236546875,320.9917444208617,783.8586718651558,83.42715029139072,119.0240817681802
308,2005-09-30,300.83264231248813,124.4248916484375,360.25623198615176,912.8434348212347,90.56006628088652,106.66326644346165
309,2005-10-31,301.22111004448664,129.42830685234378,369.5757272781863,972.1385875414777,83.81396611221135,84.83657127783047
310,2005-11-30,1.001192515050498,176.3673541171875,336.5429734971788,912.9102350870767,82.99031504429877,25.90609913940249
311,2005-12-31,2.209280759326928,175.58316982968745,292.391416283064,799.1044238510951,54.71948166377842,11.444479481223466
312,2006-01-31,0.06361601255502,226.69469384062504,259.4321565730598,711.0050618161438,45.61961138388143,7.054480218827057
313,2006-02-28,0.0,240.7458729375,236.5285873640151,645.9472215743291,26.62279112264514,4.503033619681673
314,2006-03-31,12.725315765618312,305.80602181875,225.58754211343745,598.4916702188469,28.971155115868893,2.783495967540524
315,2006-04-30,15.39576910197722,352.5303313125001,216.8844571855333,566.3799154069687,32.04402630217373,1.804263581323224
316,2006-05-31,175.14355746558024,338.59710804375,230.69729837807282,557.1245348940613,73.20521401707083,8.71959392116419
317,2006-06-30,217.52924145777402,228.766066171875,258.8166933695475,608.0980937533907,102.28703822940588,24.412729879395613
318,2006-07-31,398.7795791075184,120.78918061875,305.0068341532061,720.8367820657712,80.01623726449907,59.832354735180225
319,2006-08-31,537.3369629933192,105.42535117031252,381.977235896613,947.6756300567296,77.19163144938648,279.46239707568617
320,2006-09-30,278.617085714892,119.84233246875,419.5586186303032,1024.1422180175782,86.20238397270441,166.95822475197602
321,2006-10-31,42.317641701711885,169.61634984375,392.43332647508186,1003.8604842155207,102.04338028561322,53.12624760163712
322,2006-11-30,22.539196401362318,171.75018705468747,341.75412182278114,924.2215701633032,78.44007946550845,16.41031602936676
